# ACTS Test Suite Generation: Tue Dec 15 09:46:01 JST 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 13
# Maximum number of values per parameter: 101
# Number of configurations: 11442
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
6,27,50,2,6,4,4,3,0,67,33,96,32
8,27,51,5,4,5,2,4,0,68,43,97,33
9,27,53,7,0,6,2,0,1,69,0,98,34
2,27,54,10,4,7,5,2,1,70,9,99,35
4,27,55,13,6,8,0,1,1,71,12,1,36
9,27,67,3,0,9,4,0,0,72,22,2,37
7,27,69,6,4,10,3,1,1,73,34,3,38
4,27,70,8,0,11,2,1,0,74,42,4,39
7,27,6,9,0,12,1,3,0,75,25,5,40
8,27,11,4,0,13,5,0,0,76,2,6,41
6,27,12,1,2,14,2,1,0,77,4,7,42
8,27,13,14,0,15,5,0,1,78,14,8,43
1,27,14,0,1,16,2,1,1,79,41,9,44
5,27,15,7,0,17,4,0,1,80,16,10,45
7,27,68,7,6,18,2,2,0,81,21,11,46
7,27,18,15,0,19,5,0,0,82,39,12,47
3,27,27,4,3,20,2,0,1,83,26,13,48
6,27,73,3,5,21,3,4,1,84,28,14,49
3,27,19,10,2,22,3,2,1,85,40,15,50
7,27,20,14,1,23,1,2,0,86,15,17,51
2,27,22,0,1,24,5,0,1,87,19,18,52
2,27,23,5,3,25,3,4,0,88,36,19,53
4,27,25,15,6,26,4,0,1,89,6,72,54
3,27,31,5,1,27,5,1,1,90,8,79,55
8,27,47,2,1,28,5,1,0,91,37,80,56
9,27,3,13,1,29,2,1,1,92,10,81,57
7,27,40,6,2,30,0,1,0,93,17,82,58
8,27,61,3,6,31,1,2,1,94,23,83,59
9,27,9,8,2,32,1,2,0,95,1,84,60
9,27,10,5,3,33,5,3,0,96,38,85,61
6,27,21,12,4,34,1,1,1,97,3,86,62
9,27,39,12,0,35,1,3,1,98,27,87,63
6,27,46,12,6,36,1,1,0,99,30,88,64
8,27,24,12,5,37,2,4,1,0,5,78,65
5,27,36,12,5,38,1,3,1,1,25,90,66
7,27,58,13,0,39,1,0,1,2,28,21,67
4,27,33,13,4,40,2,1,0,3,13,67,68
3,27,34,2,1,41,3,3,0,4,32,68,69
4,27,35,0,6,42,0,1,0,5,11,94,70
2,27,74,12,1,43,3,2,1,6,20,70,71
3,27,1,12,2,44,0,0,0,7,24,71,72
6,27,41,12,3,45,0,2,1,8,42,75,73
9,27,42,12,1,46,1,4,0,9,18,76,74
7,27,5,5,5,47,4,4,1,10,33,77,75
5,27,16,10,3,48,1,0,1,11,34,89,76
9,27,29,12,3,49,3,3,0,12,41,22,77
9,27,30,14,3,50,2,3,0,13,42,23,78
2,27,26,4,3,51,5,0,1,14,5,24,79
2,27,62,4,5,52,2,4,1,15,17,28,80
6,27,57,6,3,53,0,3,0,16,6,41,81
6,27,63,3,0,54,3,0,1,17,22,47,82
8,27,32,1,1,55,3,1,0,18,4,49,83
1,27,60,1,2,56,1,4,0,19,14,55,84
3,27,7,3,0,57,3,0,0,20,33,56,85
7,27,8,2,5,58,1,2,0,21,0,57,86
7,27,17,13,2,59,5,4,0,22,13,58,87
8,27,64,0,5,60,1,2,1,23,2,59,88
9,27,65,5,3,61,5,1,0,24,12,64,89
4,27,4,7,1,62,4,2,1,25,15,65,90
3,27,28,13,4,63,2,2,1,26,31,66,91
7,27,33,6,2,64,2,0,0,27,0,73,92
5,27,34,1,6,65,3,3,0,28,16,74,93
8,27,45,12,2,66,5,2,0,29,20,16,94
8,27,59,9,2,67,1,1,1,30,3,20,95
7,27,2,12,4,68,5,1,1,31,6,25,96
3,27,0,1,6,69,3,1,1,33,12,26,97
2,27,38,3,4,70,5,4,1,34,30,30,98
7,27,40,2,3,71,1,2,0,43,38,31,99
6,27,43,13,5,72,4,0,0,44,27,32,100
2,27,52,4,5,73,0,1,0,45,36,33,0
5,27,66,12,3,74,2,0,0,46,36,34,1
4,27,74,10,4,75,3,4,0,47,40,35,2
1,27,1,10,6,76,0,1,1,48,4,36,3
4,27,6,13,1,77,2,1,1,49,15,42,4
8,27,15,8,3,78,3,0,1,50,21,44,5
4,27,16,2,4,79,5,3,0,51,12,45,6
7,27,23,7,4,80,2,0,1,32,25,51,7
2,27,26,3,1,81,5,2,0,38,9,60,8
6,27,27,9,1,82,0,2,0,52,15,37,9
5,27,72,2,3,83,5,1,0,53,5,39,10
1,27,56,4,2,84,1,0,1,54,26,43,11
9,27,61,14,4,85,0,4,1,55,19,50,12
1,27,71,6,6,86,2,1,0,56,35,52,13
8,27,3,4,2,87,3,2,1,57,40,53,14
2,27,20,4,5,88,1,1,0,58,2,54,15
6,27,24,2,4,89,5,0,1,59,3,29,16
6,27,31,12,6,90,3,3,0,60,15,48,17
3,27,41,14,6,91,1,1,1,61,24,61,18
9,27,48,15,4,92,0,0,1,62,32,62,19
9,27,64,12,5,93,2,2,0,39,42,63,20
6,27,11,4,3,94,4,3,1,40,43,69,21
4,27,12,11,5,95,1,0,0,41,0,75,22
4,27,13,12,3,96,2,3,0,42,11,38,23
5,27,19,1,0,97,0,3,1,43,25,67,24
8,27,54,7,1,98,3,0,1,63,34,27,25
9,27,73,10,6,99,1,1,1,64,36,46,26
7,27,5,15,1,100,4,4,0,65,30,40,27
7,28,25,15,1,0,1,4,1,66,32,96,29
1,28,37,0,2,1,5,2,0,67,7,97,30
3,28,50,11,3,2,0,0,1,68,21,98,31
5,28,51,12,5,3,3,1,0,69,29,99,32
6,28,14,2,6,4,4,3,0,70,8,1,33
8,28,30,5,4,5,2,1,1,71,22,2,34
9,28,32,7,0,6,4,4,1,72,8,3,35
2,28,47,10,4,7,3,1,0,73,33,4,36
4,28,49,13,0,8,5,3,1,74,28,5,37
2,28,68,3,4,9,1,4,0,75,1,6,38
5,28,9,6,0,10,4,2,1,76,23,7,39
7,28,58,8,6,11,0,2,0,77,37,8,40
9,28,55,9,4,12,3,0,0,78,17,9,41
2,28,21,4,1,13,5,2,0,79,39,10,42
4,28,69,1,6,14,3,4,1,80,41,11,43
3,28,70,14,2,15,1,0,0,81,19,12,44
1,28,22,7,0,16,2,0,1,82,20,13,45
2,28,23,12,0,17,2,3,1,83,11,14,46
4,28,67,2,6,18,5,4,0,84,0,15,47
8,28,36,14,3,19,4,0,0,85,24,17,48
8,28,39,9,6,20,5,4,1,86,38,18,49
2,28,42,0,0,21,1,4,1,87,13,19,50
5,28,44,3,2,22,1,4,1,88,27,80,51
5,28,46,9,0,23,3,1,1,89,35,81,52
6,28,71,14,2,24,5,2,0,90,31,82,53
4,28,72,7,5,25,5,2,0,91,10,83,54
3,28,73,3,4,26,3,3,0,92,18,84,55
9,28,53,15,2,27,3,4,0,93,43,85,56
7,28,63,2,4,28,2,3,0,94,9,86,57
6,28,12,9,4,29,5,0,0,95,41,87,58
4,28,13,6,3,30,5,2,1,96,16,88,59
9,28,40,10,3,31,1,1,0,97,26,92,60
1,28,43,0,2,32,2,2,1,98,39,93,61
5,28,3,7,1,33,3,0,1,99,14,94,62
8,28,10,0,2,34,5,2,0,0,42,95,63
9,28,18,7,5,35,3,1,1,1,2,20,64
7,28,27,2,2,36,4,1,0,2,3,22,65
6,28,34,5,3,37,0,1,0,3,4,72,66
2,28,61,7,4,38,2,2,0,4,6,73,67
8,28,62,12,3,39,0,1,0,5,34,90,68
7,28,65,15,4,40,3,3,1,6,12,91,69
6,28,74,15,0,41,3,3,0,7,5,27,70
7,28,15,8,5,42,5,4,0,8,40,30,71
8,28,31,8,6,43,1,3,0,9,11,78,72
7,28,56,5,1,44,3,2,1,10,16,79,73
7,28,60,11,0,45,0,2,1,11,14,68,74
8,28,64,10,6,46,3,0,1,12,7,69,75
9,28,2,6,4,47,4,3,0,13,3,76,76
1,28,6,5,6,48,2,4,0,14,0,70,77
6,28,7,1,6,49,4,4,1,15,25,36,78
8,28,11,10,3,50,2,3,0,16,26,39,79
6,28,28,15,2,51,4,2,0,17,30,41,80
5,28,29,9,5,52,4,3,1,18,27,42,81
9,28,35,14,6,53,3,4,1,19,15,43,82
9,28,41,1,5,54,4,3,1,20,34,45,83
5,28,54,9,5,55,0,3,0,21,37,46,84
3,28,59,6,5,56,2,4,1,22,38,47,85
3,28,66,5,0,57,5,1,1,23,26,51,86
1,28,5,15,6,58,4,0,1,24,29,52,87
3,28,8,11,2,59,4,1,0,25,10,53,88
9,28,17,2,4,60,4,3,1,26,18,54,89
6,28,19,0,5,61,4,4,0,27,17,55,90
8,28,20,2,1,62,3,3,1,28,32,56,91
1,28,24,14,4,63,3,1,0,29,43,57,92
1,28,38,4,1,64,4,4,0,30,2,58,93
5,28,48,15,4,65,3,2,1,31,33,59,94
3,28,26,2,4,66,3,2,0,32,42,64,95
1,28,32,3,4,67,1,4,0,33,36,65,96
3,28,16,15,6,68,3,3,0,34,37,67,97
2,28,1,7,3,69,4,1,1,35,43,75,98
3,28,4,6,5,70,3,2,0,36,8,77,99
7,28,45,3,4,71,4,4,0,37,9,24,100
8,28,49,5,3,72,2,3,1,38,12,25,0
3,28,18,5,5,73,1,2,1,39,24,26,1
3,28,57,12,0,74,0,0,0,40,37,33,2
6,28,33,9,3,75,2,3,0,41,24,66,3
5,28,44,15,1,76,4,2,1,42,3,71,4
6,28,46,5,0,77,3,3,1,43,13,74,5
8,28,47,14,0,78,3,0,0,44,29,31,6
9,28,50,1,4,79,5,3,0,46,20,37,7
5,28,51,9,3,80,2,1,0,47,28,38,8
9,28,0,1,2,81,3,0,0,48,23,44,9
6,28,9,2,2,82,3,4,1,49,14,89,10
2,28,14,13,6,83,3,3,1,50,16,28,11
7,28,69,7,0,84,5,4,0,51,33,32,12
7,28,22,3,5,85,5,0,1,52,2,40,13
4,28,25,12,0,86,0,4,1,53,0,48,14
9,28,21,1,0,87,1,2,1,54,6,50,15
3,28,37,13,4,88,1,4,0,55,23,60,16
9,28,39,3,6,89,2,3,0,56,39,61,17
6,28,52,12,1,90,0,4,0,57,1,62,18
1,28,54,13,2,91,4,3,1,58,39,63,19
5,28,55,5,0,92,1,3,1,59,9,35,20
9,28,62,6,2,93,1,2,1,60,17,49,21
8,28,68,14,4,94,5,4,0,61,28,21,22
4,28,70,15,5,95,4,3,0,62,11,29,23
9,28,58,9,5,96,2,2,1,63,40,34,24
7,28,67,13,0,97,3,4,0,64,43,93,25
1,28,69,2,5,98,4,4,1,65,12,94,26
1,28,72,8,3,99,3,2,0,66,41,16,27
2,28,9,5,4,100,4,3,1,45,17,72,28
7,29,12,15,1,0,1,4,1,68,16,99,30
1,29,13,0,2,1,5,2,0,69,1,1,31
3,29,23,11,3,2,0,0,0,70,40,2,32
5,29,36,12,5,3,3,1,0,71,22,3,33
6,29,51,2,6,4,4,3,0,72,10,4,34
8,29,59,5,4,5,2,0,1,73,13,5,35
9,29,10,7,0,6,2,1,0,74,21,6,36
2,29,11,10,3,7,2,2,1,75,30,7,37
4,29,14,13,1,8,2,4,1,76,7,8,38
5,29,53,3,4,9,3,0,1,77,26,9,39
5,29,57,6,2,10,0,3,0,78,27,10,40
1,29,15,8,0,11,3,1,0,79,11,11,41
6,29,16,9,0,12,1,0,0,80,18,12,42
8,29,17,4,0,13,1,2,0,81,4,13,43
8,29,20,1,4,14,2,1,0,82,29,14,44
1,29,21,14,2,15,2,0,1,83,33,15,45
9,29,25,11,5,16,4,0,1,84,9,17,46
4,29,27,4,0,17,2,2,0,85,21,18,47
5,29,29,8,5,18,1,2,1,86,25,68,48
1,29,37,5,2,19,2,4,1,87,8,78,49
6,29,38,10,6,20,5,3,1,88,15,79,50
1,29,43,8,3,21,0,4,0,89,32,82,51
5,29,48,13,0,22,2,1,1,90,12,83,52
6,29,65,12,4,23,3,2,0,91,19,84,53
2,29,67,5,3,24,4,4,0,92,28,85,54
8,29,70,6,2,25,2,3,0,93,23,86,55
8,29,71,3,0,26,1,4,0,94,38,87,56
6,29,73,1,0,27,0,2,0,95,31,88,57
5,29,1,14,2,28,5,3,0,96,5,91,58
1,29,4,7,2,29,4,0,0,97,42,95,59
4,29,34,7,3,30,0,2,1,98,34,96,60
1,29,41,7,0,31,5,1,0,99,13,97,61
6,29,42,5,1,32,2,3,0,0,35,98,62
4,29,44,0,6,33,4,4,0,1,39,23,63
1,29,56,6,0,34,1,2,1,2,6,81,64
1,29,61,0,2,35,4,1,1,3,41,19,65
8,29,3,6,2,36,3,0,1,4,42,92,66
5,29,6,8,0,37,2,0,0,5,30,93,67
7,29,22,14,0,38,3,3,1,6,36,94,68
9,29,28,13,4,39,0,0,0,7,0,24,69
9,29,50,12,6,40,0,2,1,8,0,76,70
5,29,55,9,5,41,5,4,0,9,1,89,71
4,29,2,11,1,42,2,4,0,10,10,90,72
3,29,39,13,3,43,4,2,1,11,15,25,73
8,29,58,6,6,44,3,4,0,12,2,80,74
1,29,24,13,2,45,3,2,0,13,12,21,75
1,29,32,10,3,46,5,0,0,14,20,28,76
2,29,33,7,2,47,3,1,1,15,22,31,77
1,29,52,8,1,48,4,1,0,16,19,43,78
3,29,60,0,3,49,1,1,1,17,43,50,79
5,29,7,0,3,50,5,1,1,18,24,53,80
9,29,18,13,5,51,0,3,1,19,28,70,81
3,29,49,12,6,52,5,2,1,20,16,71,82
6,29,63,8,0,53,0,3,0,21,17,73,83
2,29,64,9,2,54,2,4,1,22,5,74,84
1,29,26,2,2,55,4,2,1,23,14,75,85
4,29,30,0,6,56,5,0,1,24,36,16,86
2,29,40,12,3,57,1,0,0,25,30,20,87
3,29,19,0,4,58,3,0,1,26,32,46,88
8,29,72,9,0,59,3,2,0,27,31,47,89
9,29,0,5,1,60,2,0,1,28,35,51,90
4,29,5,12,1,61,3,3,1,29,41,60,91
3,29,46,7,2,62,1,0,0,30,9,66,92
3,29,47,4,2,63,4,1,0,31,38,67,93
5,29,68,6,1,64,5,2,0,32,23,77,94
2,29,74,5,5,65,3,4,1,33,27,38,95
1,29,35,14,0,66,0,0,1,34,24,52,96
8,29,66,10,5,67,4,3,0,35,7,55,97
1,29,45,1,2,68,5,3,0,36,3,56,98
8,29,53,1,1,69,2,1,1,37,18,57,99
5,29,8,1,3,70,3,4,0,67,37,58,100
6,29,31,7,1,71,2,0,0,39,38,59,0
3,29,62,2,1,72,5,2,1,40,10,62,1
5,29,9,11,0,73,4,3,1,41,20,63,2
8,29,54,12,1,74,1,0,0,42,33,65,3
7,29,64,14,5,75,5,3,0,43,7,72,4
4,29,69,8,6,76,4,4,1,44,32,29,5
1,29,70,5,0,77,1,1,0,45,26,30,6
7,29,14,13,6,78,1,4,0,47,8,34,7
3,29,17,1,6,79,3,3,0,48,22,39,8
6,29,20,7,5,80,5,0,1,49,40,41,9
6,29,21,14,2,81,3,0,1,50,40,42,10
2,29,22,11,1,82,4,4,1,51,24,44,11
5,29,24,9,2,83,4,0,0,52,16,49,12
5,29,34,8,6,84,3,1,0,53,36,22,13
9,29,35,9,1,85,2,2,1,54,35,32,14
1,29,41,9,3,86,3,3,0,55,14,33,15
1,29,53,4,5,87,5,0,1,56,18,40,16
2,29,63,4,4,88,5,3,1,57,21,35,17
2,29,65,1,5,89,5,2,0,58,31,36,18
1,29,74,14,2,90,1,2,1,59,34,37,19
8,29,25,11,5,91,3,4,1,60,22,45,20
2,29,26,10,3,92,3,1,0,61,36,48,21
3,29,27,8,3,93,3,2,0,62,30,54,22
7,29,43,3,5,94,4,4,1,63,9,61,23
2,29,45,14,4,95,5,2,0,64,13,64,24
1,29,55,8,6,96,4,3,1,65,1,69,25
4,29,3,1,3,97,3,1,1,66,3,26,26
4,29,4,11,4,98,2,2,1,46,18,27,27
1,29,7,2,2,99,5,4,1,67,24,98,28
7,29,40,15,0,100,3,4,0,68,6,1,29
7,30,42,15,1,0,1,4,1,70,41,3,31
1,30,66,0,2,1,5,2,0,71,43,4,32
3,30,73,11,3,2,0,0,1,72,9,5,33
5,30,13,12,5,3,3,1,1,73,20,6,34
6,30,16,2,6,4,4,3,1,74,31,7,35
8,30,18,5,4,5,2,0,0,75,15,8,36
9,30,46,7,0,6,4,4,1,76,14,9,37
2,30,56,10,0,7,5,2,0,77,24,10,38
4,30,11,13,3,8,5,3,0,78,2,11,39
6,30,12,3,3,9,5,0,0,79,10,12,40
2,30,33,6,5,10,4,1,0,80,28,13,41
8,30,48,8,2,11,0,4,1,81,0,14,42
1,30,52,9,3,12,3,2,0,82,19,15,43
9,30,58,4,6,13,5,3,1,83,35,17,44
5,30,8,1,4,14,2,3,1,84,32,18,45
1,30,32,14,0,15,2,0,0,85,34,19,46
5,30,38,1,4,16,0,0,1,86,4,23,47
6,30,39,0,5,17,4,4,0,87,1,76,48
6,30,59,1,5,18,4,1,0,88,18,81,49
4,30,60,14,5,19,3,1,0,89,8,85,50
9,30,67,8,0,20,4,4,0,90,39,86,51
5,30,68,10,4,21,1,4,1,91,7,87,52
3,30,6,13,6,22,0,1,0,92,42,88,53
2,30,10,8,4,23,0,0,1,93,36,92,54
8,30,15,2,2,24,4,1,1,94,37,99,55
8,30,50,1,4,25,3,0,0,95,25,91,56
1,30,51,8,4,26,3,2,1,96,11,95,57
8,30,0,4,0,27,1,4,1,97,29,96,58
9,30,2,11,5,28,0,1,0,98,26,97,59
2,30,5,6,6,29,1,2,1,99,27,2,60
7,30,44,8,2,30,1,2,1,0,10,16,61
9,30,45,6,6,31,4,2,1,1,5,70,62
2,30,49,12,6,32,0,3,0,2,4,80,63
8,30,71,5,4,33,2,1,0,3,16,68,64
7,30,47,2,3,34,4,2,1,4,17,82,65
6,30,28,1,4,35,1,0,0,5,26,83,66
4,30,29,13,3,36,3,2,0,6,41,84,67
4,30,35,2,4,37,1,4,1,7,37,1,68
6,30,31,10,1,38,5,0,0,8,21,31,69
7,30,61,4,5,39,2,3,0,9,43,33,70
8,30,30,11,0,40,0,1,1,10,3,34,71
2,30,36,1,3,41,1,0,0,11,38,35,72
7,30,57,13,0,42,3,4,1,12,17,38,73
3,30,65,1,1,43,4,4,1,13,23,41,74
8,30,19,1,4,44,2,3,1,14,6,90,75
3,30,20,6,1,45,2,4,1,15,13,78,76
9,30,23,10,5,46,0,3,0,16,27,94,77
8,30,26,11,1,47,5,0,1,17,33,98,78
7,30,43,4,3,48,0,2,1,18,39,29,79
9,30,53,5,4,49,4,1,0,19,22,79,80
6,30,37,9,3,50,3,1,0,20,12,89,81
1,30,41,14,2,51,5,3,1,21,28,93,82
3,30,1,1,3,52,1,0,1,22,21,20,83
8,30,22,14,5,53,2,1,0,23,25,21,84
4,30,27,5,4,54,0,2,1,24,20,24,85
5,30,55,5,5,55,0,0,0,25,19,45,86
8,30,62,3,5,56,1,4,0,26,3,53,87
2,30,54,3,0,57,5,4,1,27,4,54,88
6,30,74,4,4,58,1,2,0,28,19,55,89
4,30,69,13,5,59,2,1,0,29,28,56,90
8,30,70,8,5,60,1,1,1,30,34,57,91
2,30,21,4,2,61,3,1,0,31,35,58,92
4,30,24,10,6,62,5,1,1,32,40,59,93
2,30,72,8,1,63,3,2,1,33,14,64,94
1,30,3,13,5,64,0,4,0,34,0,65,95
9,30,14,2,1,65,1,2,0,35,30,69,96
5,30,37,3,2,66,3,3,1,36,25,72,97
1,30,4,8,5,67,1,0,0,37,29,73,98
7,30,9,6,5,68,2,1,1,38,42,74,99
8,30,63,5,1,69,2,2,1,69,5,22,100
2,30,64,6,1,70,1,2,1,40,11,27,0
4,30,7,3,5,71,2,4,1,41,13,32,1
7,30,17,4,4,72,1,4,1,42,36,66,2
3,30,34,12,3,73,0,2,1,43,33,71,3
1,30,36,3,0,74,3,2,1,44,2,75,4
5,30,40,15,5,75,2,2,0,45,8,50,5
9,30,49,3,4,76,4,1,0,46,11,51,6
1,30,58,9,2,77,1,2,0,48,41,43,7
9,30,59,3,3,78,2,1,0,49,1,46,8
3,30,60,13,1,79,4,0,1,50,39,47,9
9,30,25,7,1,80,1,0,0,51,21,49,10
9,30,30,10,3,81,5,1,1,52,42,52,11
3,30,68,14,2,82,1,2,1,53,23,61,12
9,30,10,3,6,83,2,1,0,54,19,37,13
8,30,12,13,6,84,5,3,1,55,27,40,14
6,30,13,14,2,85,2,2,1,56,31,30,15
2,30,18,10,0,86,2,4,0,57,32,39,16
8,30,8,8,3,87,1,1,0,58,1,28,17
7,30,23,15,6,88,4,0,1,59,0,44,18
4,30,32,11,1,89,4,3,0,60,42,60,19
4,30,39,6,3,90,1,0,1,61,11,67,20
5,30,67,7,0,91,1,3,1,62,5,36,21
1,30,71,14,4,92,2,2,1,63,24,42,22
6,30,0,15,0,93,0,3,1,64,25,62,23
9,30,47,0,6,94,4,1,0,65,31,63,24
1,30,28,0,6,95,4,0,0,66,23,25,25
8,30,29,2,0,96,2,1,0,67,10,48,26
3,30,43,1,5,97,0,4,0,68,40,68,27
3,30,44,10,6,98,0,0,0,47,6,77,28
9,30,1,3,2,99,4,0,0,69,19,26,29
3,30,2,5,6,100,5,4,0,70,0,5,30
7,31,52,15,1,0,1,4,1,72,35,6,32
1,31,5,0,2,1,5,2,0,73,12,7,33
3,31,11,11,3,2,0,0,0,74,18,8,34
5,31,57,12,5,3,3,1,1,75,21,9,35
6,31,66,2,6,4,4,3,1,76,25,10,36
8,31,48,5,4,5,2,1,0,77,39,11,37
9,31,72,7,0,6,5,2,0,78,40,12,38
2,31,73,10,1,7,4,1,1,79,6,13,39
4,31,50,13,1,8,1,3,1,80,42,14,40
1,31,51,3,5,9,1,1,1,81,8,15,41
7,31,56,6,6,10,2,3,0,82,22,17,42
7,31,31,8,0,11,1,3,1,83,16,18,43
1,31,34,9,2,12,2,0,1,84,23,19,44
1,31,61,4,5,13,1,3,0,85,32,23,45
1,31,62,1,2,14,5,3,0,86,41,70,46
8,31,63,14,1,15,5,1,1,87,20,80,47
8,31,15,10,2,16,0,1,1,88,2,84,48
2,31,16,0,1,17,5,2,1,89,7,88,49
3,31,28,11,2,18,5,0,0,90,14,76,50
2,31,38,3,3,19,3,3,0,91,4,90,51
2,31,42,15,4,20,0,4,1,92,36,91,52
5,31,46,13,1,21,5,0,1,93,26,16,53
4,31,1,8,3,22,2,1,0,94,29,78,54
4,31,6,0,6,23,1,1,0,95,19,94,55
6,31,7,8,4,24,1,0,1,96,27,92,56
9,31,33,15,3,25,2,1,0,97,40,79,57
2,31,74,6,1,26,3,2,0,98,7,89,58
2,31,8,1,6,27,1,2,0,99,30,3,59
1,31,21,6,6,28,1,0,1,0,37,4,60
3,31,27,10,6,29,3,4,0,1,33,83,61
8,31,29,13,0,30,3,3,1,2,43,95,62
2,31,30,10,1,31,3,4,1,3,1,96,63
7,31,35,1,6,32,5,4,0,4,5,97,64
3,31,36,1,2,33,0,3,0,5,28,2,65
2,31,53,3,0,34,4,3,0,6,23,99,66
1,31,19,0,3,35,0,1,0,7,34,82,67
2,31,39,12,2,36,4,3,0,8,28,86,68
1,31,47,12,5,37,2,3,1,9,2,87,69
7,31,4,12,6,38,3,0,1,10,9,85,70
2,31,25,0,2,39,2,2,1,11,15,93,71
8,31,40,3,2,40,4,1,1,12,25,81,72
6,31,9,1,4,41,2,1,1,13,36,5,73
8,31,10,1,0,42,5,3,1,14,13,36,74
2,31,22,9,6,43,3,0,1,15,0,38,75
2,31,44,13,2,44,5,0,0,16,10,48,76
1,31,49,3,4,45,0,4,0,17,38,54,77
6,31,68,8,3,46,3,1,0,18,3,60,78
9,31,0,5,1,47,3,4,1,19,32,61,79
6,31,59,2,6,48,3,2,0,20,11,62,80
2,31,17,3,0,49,5,2,0,21,24,63,81
9,31,18,0,1,50,0,4,0,22,4,66,82
7,31,37,9,0,51,1,0,1,23,38,77,83
3,31,41,15,5,52,2,0,1,24,15,50,84
6,31,64,4,6,53,4,3,1,25,12,51,85
5,31,71,5,0,54,4,3,0,26,17,58,86
8,31,3,7,0,55,5,1,1,27,21,59,87
7,31,23,1,2,56,1,1,1,28,37,65,88
3,31,67,1,1,57,1,1,1,29,39,67,89
7,31,32,0,3,58,2,1,1,30,39,68,90
4,31,45,2,4,59,0,1,0,31,27,69,91
1,31,60,2,4,60,5,1,1,32,1,72,92
6,31,26,13,6,61,5,2,0,33,15,73,93
1,31,54,9,1,62,4,4,0,34,38,74,94
3,31,55,2,6,63,3,2,0,35,18,21,95
6,31,58,2,1,64,4,3,0,36,31,24,96
6,31,65,12,0,65,5,0,1,37,29,25,97
2,31,2,4,5,66,4,0,1,38,1,29,98
3,31,70,2,2,67,4,2,1,39,2,64,99
6,31,13,7,2,68,3,2,1,41,21,71,100
4,31,24,12,5,69,3,2,0,71,4,31,0
8,31,69,0,6,70,3,0,1,42,23,37,1
2,31,14,10,0,71,0,2,0,44,30,39,2
4,31,12,0,5,72,3,4,1,45,35,41,3
8,31,20,6,4,73,1,1,1,46,10,43,4
8,31,31,6,1,74,3,3,1,47,29,1,5
3,31,38,11,5,75,3,4,0,48,9,22,6
3,31,41,11,4,76,2,3,1,51,6,28,7
4,31,43,14,1,77,5,1,0,52,17,35,8
8,31,46,12,4,78,5,1,1,53,18,40,9
5,31,51,8,3,79,4,3,1,54,26,46,10
6,31,66,7,1,80,1,2,0,55,33,47,11
9,31,73,3,5,81,2,2,1,56,43,53,12
4,31,16,12,6,82,1,1,1,57,29,55,13
8,31,19,2,6,83,2,3,1,58,8,56,14
7,31,52,8,0,84,3,2,0,59,22,57,15
2,31,55,14,0,85,1,0,1,60,41,98,16
8,31,11,9,6,86,1,3,0,61,10,30,17
4,31,15,8,0,87,2,1,1,62,7,33,18
7,31,56,5,4,88,4,3,1,63,37,45,19
2,31,33,13,1,89,5,0,0,64,8,49,20
9,31,57,6,4,90,2,0,1,65,28,27,21
6,31,60,3,4,91,3,1,0,66,12,44,22
3,31,61,12,6,92,2,3,0,67,21,52,23
9,31,65,12,3,93,4,1,0,68,34,26,24
5,31,48,3,2,94,1,1,1,69,35,34,25
8,31,61,13,1,95,4,2,0,70,7,32,26
4,31,42,5,0,96,1,4,1,43,5,70,27
2,31,51,9,4,97,3,4,0,49,11,75,28
1,31,58,11,2,98,3,4,1,50,13,76,29
4,31,50,15,0,99,2,2,1,71,40,7,30
9,31,53,14,0,100,0,3,1,72,32,20,31
7,32,6,15,1,0,1,4,1,74,2,23,33
1,32,19,0,2,1,5,2,0,75,13,42,34
3,32,42,11,3,2,0,0,1,76,4,11,35
5,32,45,12,5,3,3,1,1,77,5,12,36
6,32,70,2,6,4,4,3,1,78,7,13,37
8,32,5,5,4,5,2,2,1,79,22,14,38
9,32,8,7,0,6,0,3,0,80,30,15,39
2,32,10,10,2,7,0,4,1,81,14,17,40
4,32,26,13,4,8,4,0,1,82,27,18,41
6,32,46,3,5,9,5,4,0,83,31,19,42
4,32,47,6,2,10,2,1,0,84,16,78,43
5,32,54,8,0,11,0,4,0,85,17,79,44
9,32,56,9,6,12,1,4,0,86,24,80,45
9,32,64,4,4,13,0,4,1,87,10,82,46
4,32,68,1,3,14,0,4,0,88,25,83,47
6,32,69,14,3,15,0,1,1,89,0,86,48
1,32,3,13,0,16,3,4,0,90,20,87,49
9,32,12,14,5,17,5,1,0,91,26,91,50
8,32,13,2,1,18,4,2,0,92,6,92,51
1,32,14,0,1,19,4,0,0,93,35,84,52
4,32,40,4,5,20,5,4,0,94,41,85,53
4,32,71,2,5,21,0,1,1,95,33,90,54
8,32,72,7,0,22,1,3,0,96,38,96,55
7,32,18,10,3,23,5,1,1,97,1,97,56
7,32,38,13,4,24,4,3,0,98,29,6,57
3,32,39,13,0,25,0,2,1,99,42,10,58
3,32,66,0,6,26,2,3,1,0,12,20,59
8,32,67,2,0,27,2,0,0,1,3,95,60
6,32,73,2,0,28,1,4,0,2,21,99,61
6,32,9,3,1,29,4,4,1,3,8,88,62
5,32,16,13,5,30,1,0,0,4,20,2,63
2,32,17,0,5,31,1,1,0,5,43,3,64
