# ACTS Test Suite Generation: Thu Jul 22 15:09:57 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 16
# Maximum number of values per parameter: 200
# Number of configurations: 20015
a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
7,6,1,1,1,47,0,0,2,27,8,21,22,0,1,3
8,6,1,2,0,47,0,0,2,29,0,22,23,1,0,2
5,7,2,1,1,47,0,0,2,31,8,23,24,0,1,2
2,7,0,0,0,47,0,1,2,5,0,24,25,1,0,2
4,7,1,0,0,47,1,1,0,6,3,25,26,0,0,2
1,1,2,2,1,47,1,0,0,7,7,26,27,0,0,2
7,1,1,2,1,47,0,1,1,8,7,27,28,1,1,3
9,8,2,0,0,47,0,1,0,10,11,28,29,1,0,3
8,2,0,0,1,47,1,0,1,11,8,29,30,1,0,2
8,6,2,3,1,47,0,0,1,22,0,30,31,1,0,2
5,2,2,1,0,47,1,0,2,19,11,31,32,0,1,2
3,9,2,2,0,47,0,0,2,20,10,32,33,1,0,3
1,3,2,2,0,47,1,0,0,8,2,33,34,1,0,0
7,7,2,0,1,47,1,1,1,8,3,34,35,0,0,0
5,10,2,3,0,47,0,1,1,29,11,35,36,0,1,0
3,11,0,1,0,47,0,0,0,2,10,36,37,1,0,3
8,9,2,0,1,47,1,0,0,24,5,37,38,0,0,1
4,10,2,3,0,47,1,1,0,31,10,38,39,1,0,0
5,2,2,1,0,47,1,0,2,4,7,39,41,1,1,0
1,4,2,1,1,47,0,0,1,7,11,40,43,0,0,2
6,5,0,3,1,47,0,0,1,23,8,41,44,1,1,0
7,6,2,3,0,47,0,1,1,4,8,42,46,0,0,0
7,8,2,0,1,47,0,0,0,11,9,43,50,1,1,3
1,11,2,1,0,47,0,1,2,9,0,44,51,0,0,1
8,3,0,3,1,47,1,0,1,4,1,45,55,1,0,0
9,0,2,1,0,47,1,0,1,27,2,46,58,0,1,2
8,1,1,1,1,47,0,0,2,8,4,47,63,1,1,0
8,8,1,3,0,47,1,1,1,19,1,48,1,0,0,0
2,1,1,0,0,47,1,0,2,25,9,49,2,1,1,0
4,0,0,2,0,47,0,1,2,15,8,50,3,0,0,1
9,9,1,2,0,47,1,1,2,23,8,51,4,0,1,1
2,8,1,2,1,47,1,1,2,19,4,52,5,1,0,1
9,2,0,3,0,47,0,0,0,30,5,53,6,1,1,3
1,10,0,3,1,47,0,0,0,21,9,54,7,0,0,1
7,9,2,3,1,47,0,0,1,3,11,55,8,1,0,0
7,4,0,0,0,47,0,0,0,9,10,56,9,1,0,3
8,7,1,2,0,47,1,1,1,5,5,57,10,1,0,0
5,9,1,0,0,47,0,0,1,16,9,58,11,0,1,0
5,9,1,3,0,47,0,1,1,21,6,59,12,1,1,2
7,5,2,3,0,47,0,1,0,16,5,60,13,1,0,2
2,9,2,0,1,47,0,0,0,6,0,61,14,0,1,0
6,2,0,3,1,47,1,0,2,26,0,62,15,1,1,0
4,9,2,0,0,47,1,1,1,9,7,63,16,0,0,1
7,6,0,3,0,47,1,1,0,24,3,64,17,0,1,3
9,6,0,3,0,47,0,0,0,24,7,65,18,0,1,1
3,0,0,0,0,47,0,0,1,2,2,66,19,0,0,2
9,2,0,1,0,47,0,1,0,25,7,67,20,0,1,1
2,2,0,0,0,47,0,0,0,31,9,68,21,1,0,3
6,8,1,1,0,47,1,1,0,27,9,69,22,1,1,2
5,3,2,3,1,47,0,1,2,4,6,70,23,1,1,1
2,11,0,0,0,47,1,1,2,4,4,71,24,1,0,3
9,8,1,2,1,47,0,1,2,14,1,72,25,0,1,3
7,8,1,1,0,47,0,0,1,28,5,73,26,0,0,2
3,6,1,0,1,47,1,0,0,7,0,74,27,1,1,1
3,7,0,1,0,47,0,1,2,5,8,75,28,0,0,2
8,5,0,3,0,47,1,1,1,12,10,76,29,1,0,3
3,5,0,0,0,47,1,0,2,28,0,77,30,0,0,3
1,5,1,2,1,47,0,1,2,27,3,78,31,1,1,3
1,5,2,3,0,47,0,1,0,30,5,79,32,1,1,0
9,1,1,3,1,47,1,1,2,18,9,80,33,1,0,3
8,0,1,0,0,47,1,1,2,19,5,81,34,1,0,0
2,1,0,1,1,47,1,1,2,10,1,82,35,1,1,0
5,10,0,2,0,47,1,1,1,30,9,83,36,1,1,2
6,7,2,1,0,47,1,1,0,13,10,84,37,1,0,0
8,8,1,2,1,47,1,0,0,28,6,85,38,1,0,1
1,1,0,0,0,47,1,1,2,18,9,86,39,1,1,0
4,3,1,2,1,47,0,0,0,18,5,87,41,0,1,0
5,5,0,0,1,47,1,0,2,15,9,88,43,0,0,3
8,7,0,2,0,47,0,1,0,15,8,89,44,0,1,3
6,10,2,3,0,47,0,0,2,6,11,90,46,1,0,3
2,3,0,3,1,47,1,0,1,26,0,91,50,0,1,1
3,8,1,0,1,47,0,0,0,1,8,92,51,0,0,2
8,5,1,3,1,47,1,1,0,19,5,93,55,0,1,1
6,3,1,3,0,47,0,0,2,22,6,94,58,1,1,2
5,10,1,1,1,47,1,1,1,24,10,95,63,0,0,1
9,8,1,2,1,47,0,0,0,31,10,96,1,0,1,1
8,1,2,3,1,47,0,1,0,14,3,97,2,0,1,3
5,10,1,0,0,47,1,1,0,1,11,98,3,1,0,3
7,8,2,3,0,47,1,0,0,27,2,99,4,0,1,3
9,10,2,3,1,48,1,0,1,24,6,0,5,1,0,3
2,11,0,2,0,48,0,1,2,25,9,1,6,0,1,1
6,0,1,0,1,48,0,0,0,26,10,2,7,1,1,2
7,4,2,1,1,48,1,1,0,28,11,3,8,1,1,0
8,5,0,3,1,48,0,0,1,30,0,4,9,1,0,2
1,6,1,1,0,48,1,0,2,1,3,5,10,1,0,0
4,8,1,1,0,48,0,1,1,2,5,6,11,1,0,0
5,9,1,3,1,48,0,1,0,3,7,7,12,1,1,0
3,2,1,0,0,48,1,0,1,4,8,8,13,0,1,1
3,3,2,0,1,48,1,1,2,9,1,9,14,1,0,0
2,7,0,1,0,48,0,1,0,12,2,10,15,1,0,1
7,1,2,1,0,48,1,1,2,13,4,11,16,0,0,2
5,0,2,3,1,48,1,0,1,14,6,12,17,0,0,0
5,9,0,3,1,48,0,0,0,15,8,13,18,1,1,1
3,10,2,1,0,48,1,0,0,16,6,14,19,0,0,3
3,3,2,1,1,48,0,0,2,17,8,15,20,0,0,0
5,0,0,2,0,48,0,1,0,18,3,16,21,0,0,3
4,10,1,0,1,48,0,1,2,19,11,17,22,0,0,1
8,1,2,3,1,48,1,1,1,20,5,18,23,1,0,2
8,9,0,2,1,48,0,1,0,21,9,19,24,1,0,0
8,10,1,3,1,48,1,0,1,23,10,20,25,1,0,0
6,2,1,1,1,48,1,0,2,27,7,21,26,0,1,2
9,1,2,3,1,48,1,1,1,29,2,22,27,0,0,3
3,10,1,3,1,48,1,0,2,31,3,23,28,1,0,3
3,5,1,0,1,48,0,1,0,5,7,24,29,1,0,3
2,9,2,3,0,48,1,1,2,6,5,25,30,1,0,3
1,3,0,1,1,48,1,1,2,7,6,26,31,1,1,3
2,1,1,2,0,48,0,1,0,8,0,27,32,1,0,1
9,1,0,0,0,48,0,0,2,10,8,28,33,1,0,2
5,10,0,2,1,48,0,1,0,11,2,29,34,0,1,1
3,6,2,2,1,48,0,1,2,22,11,30,35,0,1,0
1,2,0,2,1,48,0,0,1,12,2,31,36,0,0,2
2,9,0,3,1,48,0,0,0,16,1,32,37,0,1,3
9,0,1,1,0,48,1,0,0,13,4,33,38,1,0,3
2,9,1,0,1,48,0,1,0,22,4,34,39,1,0,0
8,5,0,0,1,48,1,0,0,29,7,35,41,0,1,3
2,3,0,3,1,48,1,0,1,14,6,36,43,1,1,3
7,6,1,2,0,48,1,1,0,16,2,37,44,1,0,3
2,3,0,2,0,48,1,1,1,16,1,38,46,1,0,1
8,8,2,1,0,48,0,1,1,20,0,39,50,0,1,1
2,2,1,0,0,48,1,0,0,4,5,40,51,0,1,2
2,1,0,1,1,48,0,0,0,14,2,41,55,0,0,2
9,8,1,3,0,48,0,0,2,10,10,42,58,1,1,1
4,0,2,2,1,48,0,0,1,1,7,43,63,1,1,0
2,8,0,0,1,48,1,0,2,6,5,44,1,0,0,0
5,1,2,1,0,48,1,0,0,18,5,45,2,1,0,2
5,8,2,3,1,48,1,0,0,23,1,46,3,1,0,2
5,5,2,3,0,48,1,0,2,28,2,47,4,1,0,3
2,11,1,2,0,48,1,1,1,19,10,48,36,0,1,2
5,3,0,0,1,48,0,1,1,13,11,49,1,0,0,2
1,8,0,3,0,48,0,0,2,18,6,50,21,0,0,3
2,4,1,2,0,48,1,1,2,4,9,51,7,1,0,0
7,5,1,3,1,48,0,1,2,18,8,52,26,0,1,0
7,2,2,0,1,48,1,1,1,11,6,53,41,0,1,0
4,7,2,0,0,48,1,0,0,1,11,54,3,0,0,0
7,1,0,1,0,48,1,0,2,17,8,55,26,0,0,1
8,3,1,2,0,48,1,1,1,25,11,56,17,0,1,1
3,9,2,0,1,48,0,0,0,20,7,57,12,0,1,2
3,10,0,3,1,48,0,1,1,10,4,58,23,1,0,3
6,0,0,1,0,48,0,1,0,9,6,59,63,1,0,1
9,4,1,0,1,48,0,0,1,21,8,60,35,0,0,2
3,10,2,1,1,48,0,0,1,11,10,61,23,1,1,2
6,1,2,2,1,48,1,1,2,21,10,62,3,1,0,0
5,5,0,0,1,48,0,1,2,17,3,63,19,1,1,1
8,7,2,1,0,48,1,1,0,24,11,64,12,0,1,0
3,9,0,3,1,48,0,1,0,22,0,65,18,0,1,3
3,2,2,2,0,48,0,1,2,15,9,66,29,1,0,0
3,9,2,2,1,48,0,1,1,8,10,67,15,1,1,2
2,3,1,1,1,48,0,0,0,24,10,68,9,1,1,3
8,11,0,1,1,48,0,0,2,2,9,69,11,0,1,0
7,7,2,1,0,48,0,0,1,7,2,70,11,0,0,0
6,7,0,2,1,48,0,0,1,11,2,71,1,0,0,1
2,4,2,3,0,48,1,1,0,11,10,72,27,0,1,0
4,2,1,3,1,48,1,1,2,19,0,73,31,0,1,0
5,1,1,1,1,48,1,0,1,4,2,74,6,0,1,1
5,3,0,3,0,48,1,1,2,16,2,75,24,0,1,3
3,0,0,1,1,48,0,0,2,21,2,76,36,0,0,1
4,6,2,0,1,48,1,1,0,16,6,77,31,0,0,2
3,10,2,2,0,48,0,0,2,14,5,78,26,0,0,1
9,8,0,2,1,48,0,0,0,3,6,79,6,1,0,2
4,6,0,0,1,48,0,1,2,16,10,80,39,0,0,3
2,0,1,2,1,48,1,1,1,1,4,81,13,0,1,2
5,11,2,1,1,48,0,1,2,3,0,82,35,0,0,3
3,0,0,1,0,48,0,1,0,8,8,83,30,0,0,2
2,2,0,0,0,48,1,0,1,23,6,84,11,0,1,1
2,5,2,2,0,48,0,0,0,21,5,85,30,1,1,0
2,4,0,3,1,48,0,0,0,20,8,86,63,1,1,0
5,5,1,0,1,48,1,1,1,6,4,87,38,0,1,1
7,3,2,2,0,48,1,1,2,15,6,88,23,1,0,3
4,6,1,1,0,48,0,0,2,8,10,89,41,1,1,1
2,2,0,2,0,48,0,0,2,26,6,90,3,1,0,2
1,4,2,0,0,48,1,1,0,15,0,91,21,0,1,0
3,7,0,0,0,48,1,0,2,3,0,92,37,1,0,0
9,4,1,2,0,48,0,0,2,2,2,93,35,0,1,2
7,6,1,2,1,48,0,0,2,3,6,94,29,0,0,1
6,9,2,3,1,48,0,1,1,9,2,95,37,0,0,0
5,7,1,3,1,48,1,1,2,22,5,96,2,0,0,1
6,0,2,3,1,48,1,0,1,19,3,97,11,1,1,1
4,1,1,3,0,48,1,1,1,15,1,98,21,0,0,3
1,3,1,2,0,48,0,0,2,25,2,99,1,1,0,1
9,4,2,3,1,49,1,0,1,24,6,0,5,1,0,3
2,10,0,2,0,49,0,1,2,25,9,1,6,0,1,1
6,11,1,0,0,49,0,1,0,26,10,2,7,0,0,2
7,0,1,1,1,49,0,1,2,28,11,3,8,0,0,0
8,2,1,3,0,49,1,0,0,30,0,4,9,0,1,2
1,3,0,3,0,49,1,0,1,1,3,5,10,1,1,1
4,5,0,2,0,49,0,1,0,2,5,6,11,0,1,1
5,6,0,3,0,49,0,1,0,3,7,7,12,1,0,2
3,8,0,3,1,49,1,1,0,4,8,8,13,0,0,1
1,9,0,1,1,49,0,1,0,9,1,9,14,0,0,0
7,1,2,2,0,49,1,1,2,12,2,10,15,0,0,0
2,7,1,0,1,49,0,1,0,13,4,11,16,0,1,1
6,9,1,2,0,49,0,0,1,14,7,12,17,1,0,2
6,6,0,3,0,49,1,1,2,15,1,13,18,1,1,2
6,8,0,0,1,49,1,0,0,16,6,14,19,1,1,3
7,5,0,1,0,49,0,1,2,17,10,15,20,0,1,1
1,10,2,3,1,49,0,0,1,18,2,16,21,1,0,1
4,5,0,3,0,49,1,1,2,19,6,17,22,1,0,0
2,10,1,0,0,49,0,0,2,20,11,18,23,0,1,1
8,3,1,3,0,49,0,0,1,21,2,19,24,0,1,1
1,10,0,0,1,49,0,0,2,23,2,20,25,1,0,1
4,8,1,1,1,49,0,1,1,27,4,21,26,0,1,0
1,8,0,2,0,49,1,0,0,29,1,22,27,0,1,3
5,1,1,2,0,49,1,0,2,31,2,23,28,0,0,0
8,5,0,1,0,49,1,0,2,5,0,24,29,1,0,3
2,11,0,3,1,49,0,0,2,6,0,25,30,0,1,2
4,0,1,2,0,49,1,0,1,7,1,26,31,1,0,1
9,11,2,1,0,49,1,0,0,8,5,27,32,1,1,2
5,7,2,0,1,49,1,0,0,10,2,28,33,0,1,0
7,10,2,2,0,49,1,0,0,11,2,29,34,0,1,0
6,3,0,3,0,49,0,0,1,22,10,30,35,1,1,3
5,11,2,0,0,49,1,0,0,29,10,31,36,0,0,2
8,5,1,2,0,49,0,1,0,10,9,32,37,0,1,2
6,11,2,3,0,49,0,0,2,20,2,33,38,1,0,3
6,10,2,2,0,49,0,0,0,31,4,34,39,1,1,3
5,11,0,3,0,49,0,1,0,30,11,35,41,1,0,1
3,5,2,3,0,49,0,0,2,29,6,36,43,1,0,3
3,2,2,2,0,49,1,0,2,18,0,37,44,0,0,1
3,6,2,3,1,49,1,1,0,23,6,38,46,1,0,3
9,0,0,2,1,49,0,0,0,23,1,39,50,0,1,1
3,10,0,0,1,49,0,0,2,5,9,40,51,0,0,3
5,6,2,1,0,49,0,1,2,13,9,41,55,1,1,0
6,2,2,1,0,49,0,0,0,28,3,42,58,0,1,1
1,6,0,1,1,49,1,0,1,4,10,43,63,0,1,1
7,10,2,1,0,49,0,1,0,21,2,44,1,0,1,1
3,1,2,2,1,49,0,0,1,21,11,45,2,1,0,2
3,11,0,3,1,49,0,1,1,11,3,46,3,0,0,3
5,2,0,1,1,49,0,0,1,5,11,47,4,1,0,0
5,0,1,1,0,49,0,0,0,14,7,48,19,0,0,0
3,6,1,1,0,49,0,1,1,15,7,49,6,0,1,2
5,3,2,2,0,49,1,1,2,4,4,50,10,0,1,0
9,9,0,3,1,49,0,1,1,27,2,51,51,0,1,3
5,9,0,2,1,49,1,1,0,26,7,52,12,1,0,1
9,7,2,0,0,49,1,0,0,28,5,53,18,0,0,3
6,6,2,3,0,49,0,1,1,15,7,54,33,1,0,3
4,7,1,1,1,49,1,1,0,2,1,55,2,0,0,3
4,4,1,3,1,49,1,0,0,11,1,56,28,1,1,0
7,11,2,1,1,49,1,0,1,17,0,57,24,1,1,2
6,8,2,1,0,49,1,1,2,20,9,58,39,0,1,3
5,1,1,3,0,49,0,1,0,24,10,59,25,1,1,3
2,8,2,0,1,49,0,0,2,18,5,60,2,0,1,3
5,4,0,2,0,49,1,1,0,4,9,61,36,1,0,1
5,7,0,0,0,49,1,0,1,16,9,62,18,0,0,2
8,5,2,3,1,49,0,1,1,11,10,63,15,1,1,2
2,0,2,1,1,49,0,0,2,13,7,64,51,0,0,3
9,2,1,0,1,49,0,1,1,16,3,65,5,1,0,3
5,0,2,1,0,49,1,1,0,1,10,66,46,1,1,0
8,9,1,0,0,49,0,1,2,20,10,67,4,0,1,3
4,11,0,2,1,49,0,1,1,24,6,68,17,0,1,1
3,11,0,2,0,49,0,0,2,24,0,69,11,0,1,0
6,8,1,0,1,49,0,1,1,18,10,70,55,0,1,2
7,0,1,0,0,49,1,1,2,4,0,71,8,0,1,2
8,5,1,0,0,49,1,0,0,19,10,72,58,0,0,0
3,10,0,0,0,49,1,0,0,5,6,73,7,0,0,3
9,5,2,2,1,49,1,0,0,14,4,74,23,0,1,0
6,1,2,2,1,49,0,0,0,27,4,75,15,0,1,3
6,3,0,2,0,49,0,0,0,1,10,76,58,0,0,1
3,10,0,2,1,49,1,1,1,21,8,77,63,0,1,1
9,1,0,0,1,49,0,0,2,19,3,78,21,0,0,0
4,5,2,2,0,49,1,0,1,7,8,79,32,0,1,3
9,2,0,0,0,49,1,1,0,13,0,80,9,1,1,2
2,10,0,2,0,49,0,1,2,15,11,81,11,0,0,0
6,1,1,3,0,49,0,0,0,24,1,82,44,1,0,1
9,9,1,2,1,49,1,0,1,10,5,83,63,0,1,3
9,5,1,0,1,49,1,0,1,30,9,84,38,0,0,0
1,1,1,2,1,49,0,1,0,21,10,85,32,1,1,0
7,1,1,3,1,49,1,0,1,22,6,86,23,1,0,1
1,2,2,1,0,49,1,1,1,25,4,87,44,1,0,2
5,1,1,2,0,49,0,1,1,28,6,88,34,0,0,3
9,3,1,3,1,49,0,1,2,16,11,89,27,0,1,2
7,9,0,3,1,49,0,0,1,17,3,90,3,1,0,1
8,3,0,1,0,49,0,0,1,8,2,91,43,1,0,1
5,11,1,0,0,49,1,1,2,18,10,92,11,0,0,3
5,0,2,3,0,49,1,0,1,4,0,93,7,1,1,3
1,8,2,1,0,49,0,0,2,29,1,94,3,1,0,0
2,1,1,3,0,49,0,1,2,14,5,95,27,1,0,2
5,4,2,1,0,49,1,1,1,27,2,96,2,1,0,3
8,10,0,0,0,49,1,1,1,13,0,97,35,0,0,0
8,6,1,0,1,49,1,0,1,17,8,98,1,1,0,3
7,7,1,0,1,49,0,0,1,18,10,99,55,1,1,1
9,10,2,3,1,50,1,0,1,24,6,0,5,1,0,3
2,11,0,2,0,50,0,1,2,25,9,1,6,0,1,1
6,0,1,0,1,50,0,0,0,26,10,2,7,0,1,2
7,4,1,1,1,50,1,0,2,28,11,3,8,1,0,0
8,5,1,3,0,50,1,1,2,30,0,4,9,0,0,2
1,6,2,3,1,50,0,1,0,1,3,5,10,0,1,2
4,8,1,3,1,50,0,0,0,2,5,6,11,0,1,0
5,9,0,2,0,50,1,1,1,3,7,7,12,0,0,1
3,2,1,0,0,50,0,1,0,4,8,8,13,1,1,0
7,3,1,2,0,50,1,0,0,9,1,9,14,0,0,0
3,7,1,1,0,50,0,1,0,12,2,10,15,1,1,0
4,1,2,0,1,50,0,0,0,13,4,11,16,1,0,0
3,8,1,1,0,50,1,0,0,14,8,12,17,0,1,2
4,7,0,0,1,50,1,0,2,15,9,13,18,1,0,2
9,5,1,0,0,50,0,0,2,16,9,14,19,1,1,2
5,4,0,3,0,50,1,1,2,17,4,15,20,1,0,0
8,5,0,1,1,50,0,0,0,18,3,16,21,1,1,1
5,3,2,2,1,50,0,1,2,19,7,17,22,1,1,1
6,2,0,0,1,50,0,1,2,20,1,18,23,0,0,1
2,1,1,2,1,50,1,0,0,21,4,19,24,1,1,0
7,7,0,2,1,50,1,1,0,23,1,20,25,0,1,1
7,4,0,3,0,50,0,0,0,27,1,21,26,1,0,1
7,1,1,2,0,50,0,0,1,29,5,22,27,0,1,1
7,9,2,1,0,50,1,1,2,31,4,23,28,0,0,0
5,5,1,1,0,50,1,0,1,5,6,24,29,0,1,0
9,7,0,1,1,50,0,0,0,6,11,25,30,1,1,3
1,8,1,2,0,50,1,1,0,7,8,26,31,1,0,2
5,5,2,1,0,50,0,0,2,8,5,27,32,0,1,2
3,8,0,3,1,50,1,0,0,10,9,28,33,0,0,3
1,0,0,3,0,50,0,0,2,11,8,29,34,1,1,1
3,6,2,3,1,50,1,1,0,22,6,30,35,1,1,1
7,2,0,0,0,50,1,1,0,31,4,31,36,0,0,1
5,11,0,2,1,50,1,0,1,17,11,32,37,0,1,1
7,11,1,1,0,50,1,0,0,19,10,33,38,1,0,3
5,6,1,2,1,50,1,0,2,10,8,34,39,1,1,2
5,11,1,0,1,50,1,1,0,30,3,35,41,1,0,2
7,2,1,2,1,50,1,0,0,6,0,36,43,0,1,1
6,2,1,3,0,50,1,0,2,29,10,37,44,1,1,0
5,8,2,1,1,50,0,0,1,19,4,38,46,1,1,1
8,10,1,1,1,50,1,1,1,26,2,39,50,1,1,3
7,10,2,3,0,50,0,0,2,3,3,40,51,1,0,3
1,0,2,3,1,50,1,1,0,17,4,41,55,0,1,3
4,10,1,3,0,50,0,1,0,10,2,42,58,1,0,1
1,0,1,0,1,50,1,0,0,2,0,43,63,1,1,0
6,9,1,1,0,50,1,0,1,13,8,44,1,0,1,3
5,9,2,2,0,50,0,1,1,22,2,45,2,1,1,0
4,7,2,0,1,50,1,0,2,18,3,46,3,1,1,2
2,10,2,2,0,50,0,0,1,31,5,47,4,0,1,2
1,1,1,1,0,50,1,1,0,13,6,48,37,1,1,3
2,2,0,3,1,50,0,1,1,8,9,49,19,1,0,3
9,11,2,2,0,50,1,1,1,4,3,50,33,0,1,2
1,5,2,1,1,50,1,0,1,27,5,51,17,0,0,0
7,7,2,2,1,50,1,0,1,31,10,52,35,0,1,3
1,2,0,3,1,50,0,0,1,17,0,53,19,1,1,0
7,7,2,1,0,50,1,1,1,20,7,54,9,0,1,0
4,1,2,2,0,50,0,0,0,3,8,55,46,1,0,1
3,9,1,0,1,50,1,0,0,21,6,56,8,0,0,3
9,3,1,1,0,50,0,1,2,20,11,57,16,1,0,2
3,7,2,3,0,50,0,0,1,12,0,58,33,0,0,0
7,1,1,2,1,50,1,1,2,22,1,59,28,0,0,1
3,2,1,1,0,50,0,0,2,9,0,60,6,1,0,1
6,9,0,0,0,50,1,0,1,19,4,61,27,1,0,3
6,7,1,2,1,50,1,0,2,18,9,62,3,1,0,3
5,8,0,1,1,50,1,1,1,16,4,63,39,1,0,3
6,1,2,1,0,50,0,0,0,2,0,64,16,1,1,0
7,5,2,2,0,50,0,1,1,18,10,65,23,0,1,1
5,9,0,2,1,50,1,0,2,19,6,66,50,0,0,0
6,4,2,1,0,50,0,1,0,2,3,67,29,0,1,1
4,0,0,1,1,50,1,0,0,14,5,68,50,0,1,0
7,4,2,1,1,50,1,1,1,20,1,69,39,0,0,2
9,6,1,2,0,50,1,1,0,5,8,70,27,0,1,3
1,11,0,3,0,50,1,1,0,3,10,71,22,1,1,2
4,1,0,2,1,50,1,1,0,6,8,72,3,1,1,3
3,7,2,0,0,50,0,0,0,29,6,73,18,1,1,2
1,8,2,2,0,50,0,0,2,12,3,74,1,1,1,1
1,6,1,3,1,50,0,1,2,16,4,75,8,0,0,0
6,3,0,2,0,50,0,0,0,15,8,76,58,1,1,1
2,11,1,0,0,50,1,1,2,21,4,77,34,0,0,2
4,9,1,2,1,50,0,1,0,15,5,78,34,1,0,1
5,8,1,1,0,50,1,1,1,16,8,79,50,1,0,3
6,0,2,2,0,50,1,0,2,3,9,80,44,0,0,1
9,2,0,2,1,50,1,0,1,28,1,81,15,0,0,2
6,9,0,3,0,50,0,1,2,1,5,82,17,0,0,1
8,7,1,1,1,50,0,1,2,28,10,83,30,0,0,3
6,11,0,3,1,50,1,1,1,21,6,84,20,1,0,3
9,10,1,0,0,50,0,1,0,5,0,85,7,1,1,0
5,6,0,3,1,50,1,1,2,24,9,86,38,1,1,2
3,0,1,2,0,50,1,0,2,22,8,87,12,0,1,1
1,10,1,2,1,50,1,0,1,17,4,88,28,0,1,0
2,11,1,2,0,50,0,1,2,16,9,89,7,0,1,3
3,7,0,0,1,50,1,1,1,10,4,90,27,0,1,3
7,10,2,1,0,50,0,0,0,24,2,91,37,1,1,2
3,4,0,2,0,50,1,1,2,11,9,92,4,0,0,0
1,4,1,0,1,50,0,0,1,2,9,93,1,1,1,2
6,10,1,0,1,50,1,1,0,14,10,94,43,1,1,2
4,7,1,2,0,50,1,1,2,3,2,95,26,0,1,3
5,2,2,2,1,50,1,1,0,30,6,96,33,1,0,3
1,3,0,2,1,50,0,0,1,12,8,97,7,0,1,0
9,8,2,1,0,50,0,0,1,1,4,98,51,1,1,2
6,11,2,0,0,50,0,1,0,12,9,99,58,1,1,1
9,4,2,3,1,51,1,0,1,24,6,0,5,1,0,3
2,10,0,2,0,51,0,1,2,25,9,1,6,0,1,1
6,11,1,0,0,51,0,1,0,26,10,2,7,0,0,2
7,0,0,1,1,51,1,0,0,28,11,3,8,1,1,0
8,2,1,0,1,51,1,0,2,30,0,4,9,1,0,0
1,3,0,2,1,51,0,1,1,1,3,5,10,0,1,2
4,5,1,2,1,51,0,1,1,2,5,6,11,1,0,3
5,6,0,3,1,51,1,0,2,3,7,7,12,1,1,2
3,8,2,3,1,51,0,1,2,4,8,8,13,0,0,0
7,9,0,3,1,51,1,0,0,9,1,9,14,0,0,2
4,1,2,1,1,51,0,0,1,12,2,10,15,0,0,3
4,7,0,2,0,51,0,1,2,13,4,11,16,0,0,2
8,5,2,0,1,51,1,1,2,14,4,12,17,1,1,3
3,1,0,0,0,51,0,1,0,15,5,13,18,1,1,0
8,10,0,3,1,51,1,0,0,16,6,14,19,0,0,0
7,9,0,3,1,51,1,1,1,17,0,15,20,1,1,3
8,2,1,0,1,51,0,0,2,18,8,16,21,1,1,1
2,1,0,0,0,51,1,1,0,19,9,17,22,1,1,0
9,11,1,1,1,51,1,0,1,20,10,18,23,0,1,0
2,6,0,3,0,51,0,0,0,21,5,19,24,0,0,1
4,2,2,1,0,51,0,1,1,23,11,20,25,1,1,3
7,1,2,0,1,51,0,0,1,27,0,21,26,0,1,2
5,9,1,1,0,51,1,1,0,29,2,22,27,1,1,0
1,10,2,3,0,51,1,0,0,31,6,23,28,1,1,0
1,11,0,1,1,51,0,1,0,5,11,24,29,0,1,1
7,3,0,0,1,51,0,0,1,6,7,25,30,0,0,0
2,6,1,0,0,51,0,0,0,7,9,26,31,1,0,1
7,0,1,1,0,51,0,0,0,8,0,27,32,1,1,3
4,11,2,0,1,51,0,1,2,10,2,28,33,0,1,1
2,8,0,2,1,51,0,1,0,11,0,29,34,1,0,3
7,4,2,3,0,51,0,1,2,22,10,30,35,0,0,1
7,9,0,3,1,51,1,0,0,18,2,31,36,1,0,0
9,11,1,2,1,51,0,0,0,6,10,32,37,0,0,0
4,0,0,0,1,51,1,1,1,18,8,33,38,1,0,2
5,3,0,0,1,51,1,1,0,27,8,34,39,0,0,3
4,6,1,3,0,51,0,1,2,1,3,35,41,1,0,3
5,10,2,3,1,51,0,1,1,17,9,36,43,0,1,3
2,2,2,1,1,51,1,1,1,5,5,37,44,1,0,0
9,7,1,2,1,51,0,0,2,12,0,38,46,1,1,3
8,6,2,1,1,51,1,1,0,9,1,39,50,0,0,0
5,3,0,2,1,51,0,0,0,25,10,40,51,0,1,0
1,7,1,0,1,51,1,1,0,4,5,41,55,0,0,3
3,1,0,3,0,51,1,1,0,8,10,42,58,0,0,0
9,5,1,1,1,51,1,0,1,9,9,43,63,0,1,2
4,9,0,1,0,51,1,0,2,31,8,44,1,1,1,1
6,11,2,2,1,51,1,0,0,8,9,45,2,1,1,2
8,11,1,1,0,51,0,1,0,6,2,46,3,0,1,0
3,4,1,1,1,51,1,0,1,27,9,47,4,0,0,1
5,6,1,2,0,51,0,0,1,26,8,48,27,1,1,1
6,1,1,2,0,51,0,0,2,4,7,49,58,0,1,2
1,6,2,3,0,51,0,0,1,25,4,50,7,0,1,0
1,4,1,1,0,51,0,0,1,10,6,51,33,1,1,0
9,10,1,3,0,51,1,0,1,6,4,52,35,1,1,2
1,3,1,1,0,51,1,0,0,24,10,53,63,0,1,3
